Stats for model warm
Mean Squared Error = 0.028337
Squared Correlation Coefficient = 0.463263
Random Seed: 234
Trained on: 2 3 6 7 9 10 11 12 13 14 15 17 18 19 20 21 22 25 28 29 31 32 33 34 35 37 38 39 40 42 44 45 46 47 48 49 51 52 53 54 56 59 60 61 62 63 64 65 66 69 70 71 72 73 74 75 76 77 78 79 80 81 83 84 85 

 Test Results
  ID       Attr     Actual
  56   0.841116   0.872924
  22   1.009944   0.800009
  15   0.785845   0.800762
  81   0.980984   0.942129
  40   0.631607   0.683477
  66   0.568008   0.620615
  54   0.821796   0.858514
   7   0.880018   0.555320
  35   0.735389   0.682759
  29   0.894196   0.908465
  85   0.774162   0.793013
  67   0.897991   0.871769
  57   0.772272   0.764093
   3   0.700831   0.515510
  49   0.615948   0.659049
  86   0.859975   0.796135
  42   0.732070   0.671426
  23   0.923650   0.794429
   4   0.822913   0.757951
  25   0.574890   0.000000
  26   0.643039   0.451824
